Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
.Alpha USD,ALPHA18841-USD,2023-04-30,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-01,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-02,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-03,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-04,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-05,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-06,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-07,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-08,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-09,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-10,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-11,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-12,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-13,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-14,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-15,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-16,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-17,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-18,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-19,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-20,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-21,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-22,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-23,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-24,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-25,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-26,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-27,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-28,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-29,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-30,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-05-31,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-01,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-02,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-03,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-04,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-05,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-06,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-07,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-08,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-09,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-10,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-11,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-12,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-13,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-14,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-15,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-16,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-17,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-18,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-19,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-20,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-21,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-22,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-23,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-24,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-25,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-26,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-27,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-28,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-29,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-06-30,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-01,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-02,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-03,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-04,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-05,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-06,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-07,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-08,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-09,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-10,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-11,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-12,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-13,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-14,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-15,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-16,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-17,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-18,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-19,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-20,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-21,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-22,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-23,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-24,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-25,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-26,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-27,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-28,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-29,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-30,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-07-31,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-01,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-02,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-03,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-04,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-05,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-06,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-07,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-08,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-09,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-10,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-11,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-12,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-13,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-14,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-15,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-16,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-17,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-18,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-19,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-20,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-21,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-22,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-23,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-24,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-25,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-26,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-27,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-28,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-29,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-30,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-08-31,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-01,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-02,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-03,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-04,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-05,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-06,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-07,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-08,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-09,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-10,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-11,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-12,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-13,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-14,21.402326583862305,21.402326583862305,21.39815902709961,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-15,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-16,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-17,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-18,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-19,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-21,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-22,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-24,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-20,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-23,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-25,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-26,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-27,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-28,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-29,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-09-30,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-01,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-02,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-03,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-04,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-05,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-06,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-07,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-08,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-09,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-10,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-11,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-12,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-13,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-14,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-15,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-16,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-17,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-18,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-19,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-20,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-21,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-22,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-23,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
.Alpha USD,ALPHA18841-USD,2023-10-24,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,21.402326583862305,0
